Word/Phrase,Pronunciation,Definition,Bangla meaning,Example Sentence,ai prompt,Collocations,0
already (adv.),ɔːlˈrɛdi/ অলরেডি/ awl-red-ee,Before or by now or the time in question,ইতোমধ্যে,I have already eaten breakfast.,A checked to-do list with a coffee cup sitting nearby on a desk,"already know, already seen, already done",
also (adv.),ˈɔːlsoʊ/ অলসো/ awl-soh,In addition; too,অধিকন্তু / ও,She speaks French and also Italian.,"Two puzzle pieces snapping together, signifying an addition, colorful vector","also include, also known as, also important",
alter (v.),ˈɔːltər/ অল্টার/ awl-ter,Change or cause to change in character or composition,পরিবর্তন করা,We may need to alter our plans.,A tailor's measuring tape and scissors lying on a piece of fabric,"alter the course, radically alter, significantly alter",
"alternative (n.), (adj.) ",ɔːlˈtɜːnətɪv/ অল্টারনেটিভ/ awl-tur-nuh-tiv,One of two or more available possibilities,বিকল্প,We have no alternative but to wait.,"A crossroad with two signs pointing in opposite directions, bright sky","viable alternative, alternative energy, alternative medicine",
alternatively (adv.),ɔːlˈtɜːnətɪvli/ অল্টারনেটিভলি/ awl-tur-nuh-tiv-lee,As another option or possibility,বিকল্পভাবে,"You can fly, or alternatively, go by train.",A split screen showing an airplane on one side and a train on the other,"suggest alternatively, alternatively use, state alternatively",
although (conj.),ɔːlˈðoʊ/ অলদো/ awl-thoh,In spite of the fact that; even though,যদিও,"Although it was raining, we went out.",An umbrella shielding a person from rain while the sun shines faintly behind,"although difficult, although true, although often",
altogether (adv.),ˌɔːltəˈɡɛðər/ অলটুগেদার/ awl-tuh-geth-er,Completely; totally,সম্পূর্ণরূপে,He stopped smoking altogether.,"A giant puzzle that has just been completely put together, glowing edges","stop altogether, disappear altogether, change altogether",
always (adv.),ˈɔːlweɪz/ অলওয়েজ/ awl-weyz,At all times; on all occasions,সর্বদা,I will always love you.,An infinity symbol glowing softly in gold on a dark background,"always remember, almost always, always available",
amaze (v.),əˈmeɪz/ আমেজ/ uh-meyz,Surprise (someone) greatly; fill with astonishment,অবাক করা,His magic tricks never fail to amaze me.,"A magician pulling a sparkling rabbit out of a hat, vibrant colors","amaze someone, never cease to amaze, constantly amaze",
amazed (adj.),əˈmeɪzd/ আমেজড/ uh-meyzd,Greatly surprised; astonished,বিস্মিত,I was amazed at the size of the building.,A cartoon face with wide eyes and open mouth looking at something huge,"absolutely amazed, totally amazed, feel amazed",
amazing (adj.),əˈmeɪzɪŋ/ আমেজিং/ uh-meyz-ing,Causing great surprise or sudden wonder,চমৎকার,The view from the top of the mountain is amazing.,"A breathtaking mountain sunset with vibrant pink and orange hues, realistic","amazing achievement, truly amazing, look amazing",
ambition (n.),æmˈbɪʃn/ অ্যামবিশন/ am-bish-uhn,A strong desire to do or to achieve something,উচ্চাকাঙ্ক্ষা,Her ambition is to become a doctor.,A person climbing a steep ladder reaching towards a glowing star,"personal ambition, fulfill an ambition, burning ambition",
ambulance (n.),ˈæmbjələns/ অ্যাম্বুলেন্স/ am-byuh-luhns,A vehicle equipped for taking sick or injured people to and from hospital,অ্যাম্বুলেন্স,They called an ambulance immediately.,A bright white and red ambulance speeding down a city street with flashing lights,"call an ambulance, ambulance crew, air ambulance",
among (also amongst) (prep.),əˈmʌŋ/ অ্যামং/ uh-muhng,Surrounded by; in the company of,মধ্যে (অনেকের),He was sitting among his friends.,"A single red dot surrounded by many identical blue dots, minimalist style","among friends, popular among, hidden among",
"amount (n.), (v.) ",əˈmaʊnt/ অ্যামাউন্ট/ uh-mownt,"A quantity of something, especially the total of a thing or things",পরিমাণ,A large amount of money was spent.,A massive stack of gold coins shimmering under a spotlight,"large amount, small amount, significant amount",
amuse (v.),əˈmjuːz/ অ্যামিউজ/ uh-myooz,Cause (someone) to find something funny; entertain,আনন্দ দেওয়া,He tried to amuse the crying baby.,"A colorful clown juggling balls to make a child laugh, cheerful vector","amuse oneself, highly amuse, fail to amuse",
amused (adj.),əˈmjuːzd/ অ্যামিউজড/ uh-myoozd,Finding something funny or entertaining,আনন্দিত,She looked highly amused by the joke.,A person smiling broadly and chuckling while reading a book,"highly amused, look amused, feel amused",
amusing (adj.),əˈmjuːzɪŋ/ অ্যামিউজিং/ uh-myooz-ing,Causing laughter and providing entertainment,মজার,I found the movie very amusing.,A theater screen showing a funny cartoon with popcorn floating around,"amusing story, find something amusing, highly amusing",
analyse (BrE) (NAmE analyze) (v.),ˈænəlaɪজ/ অ্যানালাইজ/ an-uh-lahyz,Examine methodically and in detail the constitution or structure of,বিশ্লেষণ করা,We need to analyse the data carefully.,"A magnifying glass hovering over glowing bar charts and graphs, tech style","analyse data, critically analyse, carefully analyse",
analysis (n.),əˈnæləsɪs/ অ্যানালিসিস/ uh-nal-uh-sis,Detailed examination of the elements or structure of something,বিশ্লেষণ,The blood test requires further analysis.,A clipboard with a checklist and complex chemical formulas in the background,"detailed analysis, statistical analysis, careful analysis",
ancient (adj.),ˈeɪnʃənt/ এনশিয়েন্ট/ eyn-shuhnt,Belonging to the very distant past and no longer in existence,প্রাচীন,They visited the ancient ruins of Rome.,"A majestic ruined temple with worn stone pillars covered in vines, warm light","ancient history, ancient times, ancient city",
and (conj.),ænd/ অ্যান্ড/ and,"Used to connect words of the same part of speech, clauses, or sentences",এবং,He bought apples and oranges.,"A shiny glowing ampersand (&) symbol, typography art","and so on, and then, slowly and carefully",
anger (n.),ˈæŋɡər/ অ্যাঙ্গার/ ang-ger,"A strong feeling of annoyance, displeasure, or hostility",রাগ,He could not hide his anger.,"A stylized storm cloud with red lightning bolts shooting out, expressive art","express anger, feelings of anger, in a fit of anger",
angle (n.),ˈæŋɡl/ অ্যাঙ্গেল/ ang-guhl,The space between two intersecting lines or surfaces at or close to the point where they meet,কোণ / দৃষ্টিকোণ,The table was leaning at an awkward angle.,"A glowing protractor measuring a sharp geometric angle, math theme","right angle, different angle, camera angle",
angrily (adv.),ˈæŋɡrəli/ অ্যাঙ্গ্রিলি/ ang-gruh-lee,In a manner resulting from or showing anger,রাগান্বিতভাবে,He shouted angrily at the driver.,"A person with red-hot steam coming out of their ears, cartoon style","react angrily, stare angrily, shout angrily",
angry (adj.),ˈæŋɡri/ অ্যাংরি/ ang-gree,"Feeling or showing strong annoyance, displeasure, or hostility",রাগান্বিত,I was very angry with him.,"A red, fiercely scowling emoji face, clean flat design","get angry, make someone angry, angry mob",
animal (n.),ˈænɪml/ অ্যানিম্যাল/ an-uh-muhl,A living organism that feeds on organic matter,প্রাণী,The lion is a wild animal.,"A diverse group of animals including a lion, elephant, and bird together, vector","wild animal, domestic animal, animal cruelty",
ankle (n.),ˈæŋkl/ অ্যাঙ্কেল/ ang-kuhl,The joint connecting the foot with the leg,গোড়ালি,She sprained her ankle while running.,"A glowing blue outline around a human ankle, medical diagram style","sprain an ankle, twist an ankle, broken ankle",
anniversary (n.),ˌænɪˈvɜːsəri/ অ্যানিভার্সারি/ an-uh-vur-suh-ree,The date on which an event took place in a previous year,বার্ষিকী,They celebrated their 10th wedding anniversary.,"A decorated cake with glowing candles reading '10', festive confetti","wedding anniversary, 50th anniversary, celebrate an anniversary",
announce (v.),əˈnaʊns/ অ্যানাউন্স/ uh-nowns,"Make a public and typically formal declaration about a fact, occurrence, or intention",ঘোষণা করা,The company announced a new product.,"A person speaking confidently into a vintage microphone, broadcasting concept","proudly announce, officially announce, announce plans",
annoy (v.),əˈnɔɪ/ অ্যানয়/ uh-noi,Irritate (someone); make (someone) a little angry,বিরক্ত করা,His constant tapping annoyed me.,A pesky mosquito buzzing annoyingly around someone's head,"really annoy, tend to annoy, start to annoy",
annoyed (adj.),əˈnɔɪd/ অ্যানয়েড/ uh-noid,Slightly angry; irritated,বিরক্ত,I was annoyed by the loud music.,"A person covering their ears with a frustrated expression, pop art style","feel annoyed, look annoyed, get annoyed",
