Word/Phrase,Type,Category ,Sub-Category ,Pronunciation,Definition,Bangla meaning,Example Sentence,ai prompt,Collocations,Synonym,Antonym
steam,(n.),Everyday environments & spaces,"The kitchen — tools, equipment & cooking verbs",stiːm/ স্টিম/ steem,The vapor into which water is converted when heated,বাষ্প,Steam rose from the hot coffee.,A hot cup of coffee with steam rising,"steam engine, let off steam","vapour, mist, heat, moisture",
stove,(n.),Everyday environments & spaces,"The kitchen — tools, equipment & cooking verbs",stoʊv/ স্টোভ/ stohv,An apparatus for cooking or heating that operates by burning fuel or using electricity,চুলা,The pot is on the stove.,A four-burner kitchen stove glowing hot,"gas stove, wood stove","cooker, oven, range, hob",
chop,(v.),Everyday environments & spaces,"The kitchen — tools, equipment & cooking verbs",tʃɒp/ চপ/ chop,Cut (something) into pieces with repeated sharp blows of an axe or knife,টুকরো টুকরো করে কাটা,Chop the onions finely.,A sharp chef's knife swiftly cutting a green pepper on a wooden board,"chop down, pork chop, chop finely","cut, slice, dice, mince","join, combine"
alarm,"(n.), (v.)",Everyday environments & spaces,"The bedroom, bathroom & garden",əˈlɑːm/ অ্যালার্ম/ uh-larm,A warning signal; to make someone feel frightened,সতর্ক সংকেত / ভয় দেওয়া,The alarm woke him up at 6 in the morning.,"A ringing alarm clock on a bedside table, early morning light coming through curtains, realistic","alarm clock, raise the alarm, false alarm, fire alarm","alert, warning, siren, frighten","calm, reassure"
brush,"(n.), (v.)",Everyday environments & spaces,"The bedroom, bathroom & garden",brʌʃ/ ব্রাশ/ bruhsh,A tool with bristles; to clean or tidy with a brush,ব্রাশ / ব্রাশ করা,She brushed her hair before leaving home.,"A woman brushing her hair in front of a mirror, morning routine, soft light, realistic illustration","toothbrush, brush aside, hairbrush, brush up on","sweep, scrub, comb, clean",
clean,"(adj.), (v.)",Everyday environments & spaces,"The bedroom, bathroom & garden",kliːn/ ক্লিন/ kleen,Free from dirt; to remove dirt from something,পরিষ্কার / পরিষ্কার করা,He cleaned his room before the guests arrived.,"A person wiping a kitchen counter with a cloth, clean bright space, natural light","clean up, squeaky clean, spring clean, clean energy","tidy, spotless, pure, wash","dirty, filthy"
dream,"(n.), (v.)",Everyday environments & spaces,"The bedroom, bathroom & garden",driːm/ ড্রিম/ dreem,A series of images in sleep; to have visions while sleeping,স্বপ্ন / স্বপ্ন দেখা,She dreamed of traveling around the world.,"A person sleeping peacefully with a thought bubble showing colorful travel images, soft bedroom light","dream about, vivid dream, sweet dreams, dream come true","vision, fantasy, imagine, daydream","reality, nightmare"
dry,"(adj.), (v.)",Everyday environments & spaces,"The bedroom, bathroom & garden",draɪ/ ড্রাই/ dry,Free from moisture; to remove moisture,শুষ্ক / শুকানো,Hang the clothes outside to dry in the sun.,"Colorful clothes hanging on a clothesline outdoors in bright sunshine, cheerful and realistic","dry out, bone dry, blow-dry, dry run","arid, parched, desiccated, dehydrate","wet, moist"
"outside ,","(n.), (adj.), (prep.), (adv.)",Everyday environments & spaces,"The bedroom, bathroom & garden",ˈaʊtsaɪd/ আউটসাইড/ owt-syd,The outer area; not inside,বাইরে / বাইরের,The children played outside all afternoon.,"Children playing in a sunny garden, laughing and running, lush green grass, realistic photo","go outside, outside world, outside chance, wait outside","exterior, outer, outdoors, external","inside, interior"
polish,"(n.), (v.)",Everyday environments & spaces,"The bedroom, bathroom & garden",ˈpɒlɪʃ/ পলিশ/ pol-ish,A substance for making surfaces shine; to make shiny,পালিশ / পালিশ করা,He polished his shoes before the interview.,"A hand buffing a black leather shoe to a shine with a cloth, close-up realistic photo","shoe polish, nail polish, polish off, spit and polish","shine, buff, wax, gloss","dull, tarnish"
rest,"(n.), (v.)",Everyday environments & spaces,"The bedroom, bathroom & garden",rest/ রেস্ট/ rest,A period of relaxation; to relax or sleep,বিশ্রাম / বিশ্রাম নেওয়া,After the long walk,they rested under a tree.,"Two people resting under a large tree in a park, dappled sunlight, peaceful mood","relax, sleep, pause, break","work, activity"
sleep,"(v.), (n.)",Everyday environments & spaces,"The bedroom, bathroom & garden",sliːp/ স্লিপ/ sleep,To be in a natural unconscious state; this state,ঘুমানো / ঘুম,The baby slept for eight hours straight.,"A baby sleeping peacefully in a crib, soft blanket, gentle dim light, realistic photo","fall asleep, sleep well, deep sleep, lack of sleep","slumber, doze, nap, rest","wake, awaken"
yawn,"(v.), (n.)",Everyday environments & spaces,"The bedroom, bathroom & garden",jɔːn/ ইয়ন/ yawn,To open the mouth wide from tiredness; such an action,হাই তোলা / হাই,She yawned during the long boring lecture.,"A person covering their mouth while yawning in a classroom, tired expression, realistic illustration","stifle a yawn, yawn widely, let out a yawn, yawn with boredom","gape, open mouth, drowse",
outdoor,(adj.),Everyday environments & spaces,"The bedroom, bathroom & garden",ˈaʊtdɔː/ আউটডোর/ out-dawr,"Done, situated, or used out of doors.",বহিরঙ্গন,They have a lovely outdoor swimming pool.,"A sparkling blue swimming pool set in a sunny, green backyard garden.","outdoor activities, outdoor seating","outside, exterior, open-air, alfresco","indoor, inside"
bathroom,(n.),Everyday environments & spaces,"The bedroom, bathroom & garden",ˈbɑːθruːm/ বাথরুম/ bahth-room,A room containing a toilet and sink and typically also a bathtub or shower,গোসলখানা,Where is the bathroom?,"A clean modern bathroom with a mirror, sink, and towels","go to the bathroom, use the bathroom, bathroom mirror","restroom, washroom, lavatory, toilet",
bedroom,(n.),Everyday environments & spaces,"The bedroom, bathroom & garden",ˈbɛdruːm/ বেডরুম/ bed-room,A room for sleeping in,শোবার ঘর,Her bedroom is painted pink.,"A neat room with a bed, a nightstand, and a glowing lamp","master bedroom, spare bedroom, share a bedroom","chamber, sleeping room, boudoir",
flower,(n.),Everyday environments & spaces,"The bedroom, bathroom & garden",ˈflaʊə/ ফ্লাওয়ার/ flou-er,"The seed-bearing part of a plant, consisting of reproductive organs (stamens and carpels) that are typically surrounded by a brightly colored corolla (petals) and a green calyx (sepals)",ফুল,She picked a beautiful red flower.,"A vibrant, fully bloomed, perfect red rose covered in morning dew","wild flower, pick a flower","blossom, bloom, petal, plant",
faucet,(n.),Everyday environments & spaces,"The bedroom, bathroom & garden",ˈfɔːsɪt/ ফসেট/ faw-sit,A device by which a flow of liquid or gas from a pipe or container can be controlled; a tap,পানির কল,Turn off the faucet when you brush your teeth.,"A shiny, polished chrome sink tap dripping a single drop of water","turn on the faucet, dripping faucet","tap, spigot, valve",
garden,(n.),Everyday environments & spaces,"The bedroom, bathroom & garden",ˈɡɑːdn/ গার্ডেন/ gahr-dn,"A piece of ground, often near a house, used for growing flowers, fruit, or vegetables",বাগান,She grows roses in her garden.,A beautiful sunny garden full of red blooming roses,"flower garden, garden shed","yard, park, grounds, plot",
hairdresser,(n.),Everyday environments & spaces,"The bedroom, bathroom & garden",ˈhɛədrɛsə/ হেয়ারড্রেসার/ hair-dres-er,A person who cuts and styles hair as an occupation,নাপিত / কেশপ্রসাধনকারী,I went to the hairdresser for a haircut.,A person skillfully cutting hair with shiny silver scissors,"visit a hairdresser, professional hairdresser","stylist, barber, beautician",
cotton,(n.),Everyday environments & spaces,"The bedroom, bathroom & garden",ˈkɒtn/ কটন/ kot-n,A soft white fibrous substance that surrounds the seeds of a tropical and subtropical plant,তুলা,She wore a white cotton dress.,"A fluffy, soft white cotton ball hanging gracefully from a green plant stem","cotton shirt, pure cotton, pick cotton","fabric, cloth, textile, fibre",
mirror,(n.),Everyday environments & spaces,"The bedroom, bathroom & garden",ˈmɪrə/ মিরর/ mir-er,"A surface, typically of glass coated with a metal amalgam, which reflects a clear image.",আয়না,She looked at herself in the mirror.,"An elegant, ornately framed oval mirror reflecting a brightly lit room.","look in the mirror, rear-view mirror","reflection, glass, looking glass",
scissors,(n.),Everyday environments & spaces,"The bedroom, bathroom & garden",ˈsɪzəz/ সিজারস/ siz-erz,"An instrument used for cutting cloth, paper, and other material, consisting of two blades laid one on top of the other and fastened in the middle.",কাঁচি,"Pass me the scissors, please.","A pair of sharp, shiny metal scissors cutting a red ribbon.","pair of scissors, sharp scissors","shears, clippers, cutters",
shower,(n.),Everyday environments & spaces,"The bedroom, bathroom & garden",ˈʃaʊə(r)/ শাওয়ার/ show-er,"A brief and usually light fall of rain, hail, sleet, or snow; a quick wash.",ঝরনা / পশলা,I take a cold shower every morning.,A modern bathroom shower head spraying clean water.,"take a shower, rain shower","wash, rinse, downpour, drizzle",
